title,city,model_year,mileage,fuel_type,engine_size,transmission,feature_lst,price,update,image
Toyota Corolla 2022 Altis 1.6 X CVT-i Special Edition for Sale,Multan,2022,"5,500 km",Petrol,1600 cc,Automatic,FEATURED,PKR 67.75 lacs,Updated 4 minutes ago,https://cache3.pakwheels.com/ad_pictures/8071/tn_toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-80718157.webp
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,2022,"8,900 km",Petrol,1798 cc,Automatic,FEATURED,PKR 79.85 lacs,Updated 17 minutes ago,https://cache1.pakwheels.com/ad_pictures/8089/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2022-80892704.webp
Toyota Corolla 2022 Altis 1.6 X CVT-i for Sale,Karachi,2022,"11,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 62 lacs,Updated 43 minutes ago,https://cache3.pakwheels.com/ad_pictures/8089/tn_toyota-corolla-altis-1-6-x-cvt-i-2022-80891277.webp
Toyota Corolla 2009 XLi VVTi for Sale,Lahore,2009,"92,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 22.75 lacs,Updated about 1 hour ago,https://cache2.pakwheels.com/ad_pictures/8056/tn_toyota-corolla-xli-vvti-2009-80560637.webp
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Multan,2022,"2,200 km",Petrol,1800 cc,Automatic,FEATURED,PKR 78.25 lacs,Updated about 1 hour ago,https://cache2.pakwheels.com/ad_pictures/8028/tn_toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2022-80280304.webp
Toyota Corolla 1991 for Sale,Islamabad,1991,"172,000 km",Petrol,1600 cc,Automatic,FEATURED,PKR 14.5 lacs,Updated about 1 hour ago,https://cache4.pakwheels.com/ad_pictures/8053/tn_toyota-corolla-1993-80537092.webp
Toyota Corolla 2023 Altis X Automatic 1.6 for Sale,Lahore,2023,30 km,Petrol,1600 cc,Automatic,FEATURED,Call,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Multan,2021,"31,000 km",Petrol,1800 cc,Automatic,Not Featured,PKR 70 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2020 GLi 1.3 VVTi for Sale,Islamabad,2020,"65,000 km",Petrol,1300 cc,Manual,Not Featured,PKR 45 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
Toyota Corolla 2018 GLi Automatic 1.3 VVTi for Sale,Lahore,2018,"66,000 km",Petrol,1300 cc,Automatic,FEATURED,PKR 36 lacs,Updated about 1 hour ago,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D"
